X Y Z Intensity
107.81386559898965 44.12330910470337 225.1701 28.0
107.8920635834802 43.58165359403938 224.9348 28.0
92.87460888293572 37.31299188453704 224.8163 23.0
92.45520886930171 36.95768357720226 224.8083 27.0
92.06570171040948 36.09840227570385 224.8265 23.0
92.02388857165352 36.063986422494054 224.8233 23.0
92.41017572791316 34.88312946539372 224.968 24.0
91.91189779934939 34.5469383019954 224.9012 22.0
91.89421462640166 34.509800906293094 224.8786 22.0
91.8963593209628 34.486508757807314 224.863 22.0
91.0281051028287 33.62172210495919 224.828 29.0
90.97159553563688 33.6158379195258 224.8317 24.0
90.91778025904205 33.59556954354048 224.8317 29.0
90.77564095705748 33.538590678945184 224.83 32.0
90.8234811683651 33.152919319458306 224.8329 28.0
90.61322575889062 33.088649342767894 224.8359 30.0
90.56237180251628 33.07401502132416 224.837 40.0
90.30549655808136 32.61500084027648 224.8315 29.0
90.32321206433699 32.254133517853916 224.8399 52.0
90.27462854376063 32.24178043473512 224.839 52.0
90.67734729277436 31.940733404830098 224.8499 21.0
90.6584080918692 31.922463772818446 224.8391 20.0
90.11617350322194 31.849750694818795 224.8468 55.0
99.51009681611322 26.717818277888 225.0856 20.0
90.0628230406437 31.8417233703658 224.8473 51.0
99.44246104056947 26.691639580763876 225.0624 30.0
99.37894804705866 26.564396732486784 224.9775 30.0
89.87820508901495 31.80701087974012 224.845 28.0
89.90192799258512 31.454078569076955 224.8511 30.0
89.79505752224941 31.444690094329417 224.8541 31.0
89.74007098237053 31.439956406131387 224.8557 31.0
89.72612599190325 31.072725138626993 224.8506 37.0
89.67257772828452 31.07247501704842 224.8536 46.0
90.0762699644547 30.763670472428203 224.8808 20.0
89.5360064143315 31.071225157007575 224.8518 44.0
89.50502531416714 30.702448872849345 224.8438 56.0
89.32452437188476 30.688964306376874 224.8386 22.0
89.22524206934031 30.350691626779735 224.8545 22.0
98.44373984262347 24.364921047352254 222.311 21.0
89.15921530441847 29.986582785844803 224.8518 34.0
89.05266836180817 29.994990509934723 224.854 38.0
89.01313834497705 29.99287341814488 224.8509 49.0
88.9182146282401 29.63581189326942 224.852 50.0
88.82720898557454 29.64350312575698 224.8517 32.0
88.87895560555626 29.256819360889494 224.8482 25.0
88.83778951049317 29.257995903491974 224.8454 33.0
88.6921491138637 29.277638614177704 224.8463 29.0
88.64078651217278 29.283002825453877 224.8456 31.0
88.42463883652817 28.53485849685967 224.8386 42.0
88.09418759751134 27.794924652203918 224.8445 29.0
87.93930859211832 27.84212610591203 224.8459 30.0
87.90828248485923 27.841337042860687 224.8398 32.0
87.83615066448692 27.44260879047215 224.849 77.0
87.70823721913621 27.46714935079217 224.8385 33.0
87.56963803211693 27.087853891775012 224.8572 37.0
87.52137190196663 26.605239810422063 224.8484 27.0
87.31971214606892 26.691274446435273 224.8492 30.0
87.62542182137258 25.99308978021145 224.8354 22.0
87.29999112256337 26.184927891008556 224.8483 38.0
87.1475930691231 26.256650899536908 224.8493 36.0
87.01796810352243 25.76863245945424 224.8498 40.0
86.7329144513933 25.31890754774213 224.8436 55.0
86.48139887617435 24.832236187532544 224.8445 44.0
85.99375038268045 23.62025905121118 224.8139 64.0
86.13408184587024 22.802246725186706 224.8741 20.0
86.06712685979437 22.68825746048242 224.8138 20.0
85.66309527447447 23.010394614189863 224.81 62.0
85.42009715398308 22.219321174547076 224.7992 20.0
85.26883926335722 22.337766616605222 224.7969 50.0
82.47454235563055 33.02508133184165 225.0637 45.0
82.4465058632195 33.02881531510502 225.0663 40.0
82.43807666492648 32.932990685105324 225.0659 67.0
82.42007718468085 33.03036669176072 225.066 45.0
82.41006842709612 32.93561363872141 225.0651 60.0
82.39126504026353 33.03408094774932 225.0687 42.0
82.40588480315637 32.82544426526874 225.046 51.0
82.38709418347571 32.95392907503992 225.0691 69.0
82.37150642520282 33.04803117271513 225.0667 45.0
82.38044232828543 32.84925566799939 225.0558 71.0
82.36066550482064 32.95548045169562 225.0671 73.0
82.34421732986812 33.05289590917528 225.0699 47.0
82.35323799704202 32.850787319242954 225.0537 71.0
82.33257250208408 32.96143649239093 225.0718 77.0
82.35441737866495 32.65181455668062 225.062 26.0
82.31695648957975 33.0566496187821 225.0718 50.0
82.33696751133539 32.75809851754457 225.064 34.0
82.32606192072853 32.851207941770554 225.0501 75.0
82.3061438233126 32.96298786904663 225.0702 69.0
82.29047130118124 33.06042305286974 225.0736 52.0
82.30732320388779 32.76401510555297 225.0665 32.0
82.29638935858384 32.85823555942625 225.0562 79.0
82.28563781117555 32.97580733895302 225.0651 69.0
82.30027577700093 32.67489610146731 225.0645 59.0
82.26988052460365 33.07657560892403 225.0738 52.0
82.28354505298194 32.78342184610665 225.0705 36.0
82.27424727706239 32.874348665587604 225.0558 79.0
82.2591526225442 32.9795807749033 225.0671 69.0
82.26979930710513 32.68301502149552 225.0703 44.0
82.24500315031037 33.078166438266635 225.0728 52.0
82.25548030459322 32.78826685715467 225.0718 36.0
82.24615427409299 32.88030470535159 225.0591 81.0
82.25716827227734 32.56929557863623 225.0572 83.0
82.23108787508681 32.984425785951316 225.0687 77.0
82.2377150231041 32.69331654626876 225.0772 52.0
82.2193218691973 33.0808485718444 225.0718 26.0
82.22824771807063 32.7909095371142 225.0701 36.0
82.2421820256859 32.45662798639387 225.0507 24.0
82.21894994308241 32.881836355663836 225.0558 89.0
82.22428008064162 32.580688405781984 225.0654 78.0
82.20377052458934 32.990401552058756 225.0725 82.0
82.20804246026091 32.70034416485578 225.0815 52.0
82.19932255288586 32.799067908897996 225.0749 36.0
82.21006948570721 32.46804053988308 225.0573 61.0
82.19249300914817 32.8844987610355 225.0545 89.0
82.19460751744919 32.587716024369 225.0679 74.0
82.18481581681408 33.003260475583375 225.0664 73.0
82.18673254048917 32.714254938066006 225.0764 59.0
82.1780408883933 32.8118676552549 225.07 66.0
82.18304745107889 32.49292352050543 225.0652 56.0
82.1719022319885 32.900651319883764 225.0532 90.0
82.17085762124043 32.60601173620671 225.0674 84.0
82.15789213986136 32.71908022463322 225.0764 59.0
82.1642394522205 32.377935241907835 225.0601 65.0
82.14905921334866 32.82224808447063 225.0783 57.0
82.1525992351817 32.49993141274899 225.0676 56.0
82.14464139123447 32.90440502949059 225.0521 79.0
82.14118505816441 32.613039353862405 225.0702 84.0
82.12982739123981 32.72392523661256 225.0764 61.0
82.13129474991001 32.39155012834817 225.068 59.0
82.12107922998257 32.82376001123339 225.0737 62.0
82.12220752949361 32.5047172466293 225.0654 60.0
82.11156900506467 32.61784491315484 225.0699 84.0
82.11104846512899 32.27207828313112 225.0614 63.0
82.100986990612 32.728750521317124 225.0765 61.0
82.10015564644709 32.39520520810038 225.0658 65.0
82.09200817369856 32.62401793990284 225.0736 86.0
82.08990807388909 32.279322885908186 225.0642 60.0
82.08223006676417 32.73383224476129 225.0789 64.0
82.07984741753899 32.40024747978896 225.0675 68.0
82.07651333569083 32.53134886454791 225.0712 61.0
82.0732574990252 32.17105995863676 225.0593 58.0
82.06909044005442 32.64011131878942 225.0703 84.0
82.06291429395787 32.30309483874589 225.069 61.0
82.06092014734168 32.74774301983416 225.0744 73.0
82.05526535899844 32.420745523646474 225.0683 68.0
82.0483572994126 32.051469759084284 225.0618 21.0
82.04692553705536 32.5350433960557 225.068 61.0
82.03787282004487 32.189059781841934 225.0711 51.0
82.04182959813625 32.64386502839625 225.0692 83.0
82.03243782231584 32.3112137587741 225.07 65.0
82.02398498123512 32.4299557460472 225.071 78.0
82.01294436492026 32.070580611005425 225.0733 45.0
82.01802862598561 32.542090740054846 225.0698 61.0
82.00753762258682 32.1916235582903 225.0661 92.0
82.01227005501278 32.64644853211939 225.0646 84.0
81.9988304877188 32.32036480586976 225.0721 63.0
81.98772058985196 31.93319422751665 225.062 29.0
81.99528585385997 32.42922588996589 225.0633 84.0
81.97753143054433 32.08969146478921 225.0848 45.0
81.98841257253662 32.546896300278604 225.0682 61.0
81.97473419446032 32.19968330394477 225.0666 72.0
81.96924268815201 32.32405933830887 225.0689 73.0
81.95322458154988 31.946769663132727 225.0676 38.0
81.96400547621306 32.43843611422926 225.0662 72.0
81.94567318330519 32.091104762628675 225.0782 49.0
81.9654383289162 32.56521173939109 225.067 49.0
81.948431301862 32.22680806927383 225.0733 72.0
81.93159651639871 31.820592196658254 225.0593 31.0
81.94305281585548 32.346739986911416 225.0714 73.0
81.92379082471598 31.97492655366659 225.0731 34.0
81.9411159970332 32.45341846626252 225.0619 77.0
81.91856638365425 32.11932082939893 225.0859 45.0
81.91646003595088 32.23266548104584 225.0714 82.0
81.89632485550828 31.834147905930877 225.0632 46.0
81.91349327145144 32.34932349156588 225.0671 73.0
81.890817866195 31.989652468822896 225.0793 38.0
81.90989212936256 32.46040663309395 225.062 27.0
81.88581946492195 32.12515851575881 225.0837 51.0
81.8642897362588 31.689917818643153 225.0571 47.0
81.88446051522624 32.239633922465146 225.0711 87.0
81.86016452300828 31.852128005586565 225.0714 46.0
81.88307331036776 32.3552203560248 225.0657 73.0
81.85643487796187 31.998783790506423 225.0798 38.0
81.85465210536495 32.129924627020955 225.0807 51.0
81.82893331011292 31.706806615926325 225.0637 51.0
81.86207419389393 32.35690981615335 225.0617 69.0
81.83379969140515 32.00376688502729 225.0797 38.0
81.80548687221017 31.56057145446539 225.0625 41.0
81.83118475752417 32.137110052630305 225.082 49.0
81.80305423936807 31.717265949584544 225.0669 51.0
81.83218101994134 32.25053360685706 225.0686 92.0
81.80225767532829 31.870666809380054 225.0743 49.0
81.80777934752405 32.01978136319667 225.0735 63.0
81.77527746232226 31.588708619587123 225.066 54.0
81.80663095391355 32.15649706777185 225.0806 56.0
81.77431136986706 31.74877565074712 225.0739 54.0
81.77523563988507 31.895549793727696 225.0763 53.0
81.77491940907203 32.03006316535175 225.0746 63.0
81.73917363851797 31.604466661810875 225.0711 54.0
81.77457492297981 32.165687567554414 225.0805 51.0
81.73912447341718 31.758998276665807 225.0742 57.0
81.74088090623263 31.90357008576393 225.0756 57.0
81.70004462485667 31.464503157883883 225.0772 40.0
81.67224230151623 31.275910826399922 225.0553 29.0
81.71479670761619 31.769497064873576 225.078 54.0
81.71824571955949 31.90855318121612 225.0745 57.0
81.67591464193538 31.46722474321723 225.0729 33.0
81.69288066285662 31.776721940375865 225.0781 60.0
81.69475011609029 31.91684963554144 225.076 57.0
81.64989429642446 31.483239223249257 225.0799 43.0
81.62006033479702 31.31349492724985 225.0709 53.0
81.66875068109948 31.779443526640534 225.0739 57.0
81.59050891955849 31.132640346884727 225.0621 24.0
81.67283407179639 31.924074513837695 225.0763 57.0
81.62576431338675 31.48596080765128 225.0758 46.0
81.6016269819811 31.336372836492956 225.0729 45.0
81.63612220447976 31.658545043319464 225.0783 65.0
81.56897295743693 31.155439352616668 225.0622 30.0
81.6237117695855 31.65822943020612 225.0749 82.0
81.55771825858392 31.17071759235114 225.0711 30.0
81.59641532064416 31.510784612968564 225.0761 46.0
81.52247020904906 30.969706689938903 225.0547 27.0
81.61748564487789 31.811492211185396 225.0764 60.0
81.55156141729094 31.351775815710425 225.072 60.0
81.58930052514188 31.668471781536937 225.0745 82.0
81.51748187839985 31.196376266889274 225.0801 26.0
81.55806930479594 31.523150393739343 225.0762 46.0
81.48126039176714 31.00312283821404 225.0679 31.0
81.5131588911172 31.36636365391314 225.0733 60.0
81.44299449387472 30.79869994800538 225.0567 45.0
81.55330972163938 31.679785711690784 225.0739 82.0
81.47841671830975 31.20650026295334 225.0775 30.0
81.52133110328577 31.53333356883377 225.0755 49.0
81.44340747757815 31.02661863155663 225.0758 31.0
81.51107809564564 31.539743305183947 225.0777 46.0
81.4286418298725 31.027354871854186 225.0723 39.0
81.4638972338289 31.380675330758095 225.0719 60.0
81.38865509687457 30.829558701254427 225.0641 58.0
81.43490820098668 31.238746205344796 225.0794 35.0
81.35315274633467 30.638547057285905 225.0613 20.0
81.4810382159194 31.561214298941195 225.0746 49.0
81.3961337171495 31.05432183109224 225.0721 36.0
81.43299693684094 31.405459685251117 225.0711 63.0
81.35373526229523 30.85979956947267 225.0657 54.0
81.36939422809519 31.0680945282802 225.0752 36.0
81.27762727381196 30.43428836017847 225.0598 20.0
81.40795002749655 31.413716688752174 225.0712 66.0
81.32702402723953 30.872461238875985 225.0673 58.0
81.34199210605584 31.077403384260833 225.0747 39.0
81.24686824704986 30.453517571091652 225.0648 20.0
81.38307264714967 31.415307523682714 225.0663 27.0
81.29942412103992 30.889547294937074 225.0723 58.0
81.19670048449188 30.22878055460751 225.0671 21.0
81.3153938910691 31.085620937868953 225.0745 39.0
81.2184079226572 30.473916987888515 225.0701 24.0
81.33233709540218 31.273937106132507 225.0789 38.0
81.23987654666416 30.697924153879285 225.0719 24.0
81.2903752354905 31.092766914516687 225.0732 36.0
81.19094928889535 30.48544790316373 225.0704 38.0
81.21224838518538 30.716121240518987 225.0768 26.0
81.0928586544469 29.978220105171204 225.0533 21.0
81.23215292976238 30.910071454010904 225.0698 60.0
81.12329335161485 30.27694234997034 225.0781 30.0
81.25640058366116 31.116361336782575 225.07 42.0
81.15281382517423 30.520053984597325 225.0727 48.0
81.24324275029358 31.1149149723351 225.0659 30.0
81.1393451881595 30.530828935094178 225.0762 44.0
81.12432524655014 30.541564433835447 225.0794 44.0
80.98626603744924 29.744265910238028 225.0514 31.0
81.18482265993953 30.93999671190977 225.0671 92.0
81.07229537377134 30.32900928054005 225.0875 35.0
81.09617572498973 30.549742535687983 225.0779 44.0
80.95550700835884 29.7634951248765 225.0548 31.0
81.34890679386444 31.93473634775728 225.085 44.0
81.08212921919767 30.552720558829606 225.0761 53.0
80.94184058741666 29.78204727359116 225.0613 26.0
81.33744154043961 31.92777428869158 225.0754 57.0
81.02472628816031 30.33780527021736 225.0814 56.0
